FID,ALA,lat,lon,year,basis,rain,dist2rds,slope,commchng,dem,noburns,soil,sandpc,roads5k
1,f6c86916-a154-4f70-a2dc-9a4915a2d3e7,-41.49851782,145.6680262,1967,HumanObservation,2226,0,0.4407106,0,694.1652832,0,1480,0,1
2,3da40b6f-fa05-413f-8a7b-b3528cb00797,-41.4228231,145.8656631,1999,HumanObservation,2276,10000,0.2103725,4.97,690.1105347,0,2962,0,
3,fa8ec8a0-4d2e-455b-a946-2959a9784b90,-42.78768928,147.4024039,1992,HumanObservation,504,0,0.4835052,68.29,114.6261444,0,2976,0,1
4,f99c6d35-1701-4cd9-9efa-1720c0882c06,-42.04220734,146.6642458,1989,HumanObservation,1224,5000,0.5051048,8.3,932.3174438,0,1064,0,
5,f770b5f3-24a1-44a7-9622-cf0d12fd9308,-41.42301071,147.0037338,1991,HumanObservation,840,5000,0.6605244,0,277.9566345,0,2372,0,
6,f00b0787-7209-49e7-8db8-ec6af222e053,-41.63676937,147.7457568,1992,HumanObservation,1048,0,3.3559034,11.53,714.9404297,0,1481,0,1
7,eae6a4bc-6506-4ec5-8946-2a72fe44f029,-42.96037513,147.0712598,1990,HumanObservation,981,5000,2.921756,11.53,142.2912598,0,2574,0,1
8,e852087e-925f-4b02-b04b-25998de4678f,-42.11629478,146.757,1988,HumanObservation,864,0,0.6972814,4.97,881.4734497,0,1063,0,1
9,e6a80662-092e-4e12-bfbb-74a44cb30e52,-42.07502661,148.1757716,2020,HumanObservation,618,,,11.45,0.2680432,0,,0,1
10,e39d4368-dc3d-4fa7-b13f-a06160266600,-42.29072378,147.8638052,1990,HumanObservation,691,0,1.6949328,11.53,337.091156,0,2372,0,1
11,dd668781-972a-40fb-89bd-b6189ede03a3,-42.11897845,146.7485217,1993,HumanObservation,731,0,0.6972814,8.3,576.7591553,0,1063,0,1
12,be38413d-9a32-436c-9cb0-1341c90990da,-42.29601631,147.8784347,1990,HumanObservation,625,0,1.6949328,11.53,266.8912354,0,2372,0,1
13,bb80bdeb-cc7a-433b-84ff-022f3d80c0e0,-41.46354383,146.9857741,1999,HumanObservation,819,0,0.3412811,11.53,188.5337524,0,2970,0,1
14,bb08a4c3-b8d9-4962-b928-8ad84d0924a1,-41.47499567,147.8253406,1990,HumanObservation,982,0,1.59749,11.53,308.7009277,0,1481,0,1
15,b0cf2cdc-b828-4ced-ac99-f9db387c42d3,-42.94829768,147.8670225,1993,HumanObservation,735,,,11.53,,1,558,0,1
16,afd42fdb-2c96-4bd1-a0f4-d0daa678cb56,-41.58333333,147.1166667,1930,PreservedSpecimen,670,0,0.0488708,68.29,135.4737549,0,2970,0,1
17,a32c866a-4c6d-42e9-9142-75fbd68f7b92,-42.83992964,147.4367492,1993,HumanObservation,609,0,,0,178.6051636,0,2737,0,1
18,a1e0aeaf-3ada-4e89-be9c-93645e131f76,-41.45443309,147.8035287,1990,HumanObservation,934,0,1.516533,0,298.431366,0,1481,0,1
